Wilkommen;Bienvenue
Hallo/Tschüss;Salut
Guten Tag;Bonjour
Auf Wiedersehen;Au revoir
Ich heiße...;Je m´appelle...
Und du?;Et toi?
und  ;et   
du;toi
Ich,ich heiße...;Moi, je m´ appelle...
ich    ;moi   
Wie geht’s ?;Ca va ?
Ganz gut;Ca va  
Es geht mir gut;Ca va bien
es geht mir super;Ca va super bien
Na ja;Bof
es geht mir schlecht;Ca va mal
danke;merci
Frau/Dame;madame
Herr;monsieur
junge Frau;mademoiselle
Wer ist das?;Qui est-ce?
Das ist ...;C´est...
komm;Viens
schnell;Vite
Ja;Oui
Nein;Non
Achtung;Attention
